airline,airport_name,avg_delay
9E,"Charleston/Dunbar, WV",292.3333
AA,"Hayden, CO",41.5143
AS,"Adak Island, AK",41.7778
B6,"Newburgh/Poughkeepsie, NY",50.7097
DL,"Roanoke, VA",47.9032
EV,"Burlington, VT",63.0667
F9,"Columbus, OH",33.0000
G4,"Clarksburg/Fairmont, WV",108.8889
HA,"Oakland, CA",20.9194
MQ,"Florence, SC",47.3333
NK,"Latrobe, PA",27.1393
OH,"New York, NY",27.7419
OO,"Tampa, FL",98.4828
Reporting_Airline,OriginCityName,0.0000
UA,"Asheville, NC",39.1875
VX,"Kona, HI",33.6452
WN,"Los Angeles, CA",26.3657
YV,"Killeen, TX",36.6667
YX,"Greer, SC",42.0000
