FlightDate,flight_count,avg_prev_3_days
2018-03-01,20004,NULL
2018-03-02,20225,20004.00
2018-03-03,16128,20114.50
2018-03-04,18978,18785.67
2018-03-05,20161,18443.67
2018-03-06,19673,18422.33
2018-03-07,19924,19604.00
2018-03-08,20417,19919.33
2018-03-09,20609,20004.67
2018-03-10,17180,20316.67
2018-03-11,19885,19402.00
2018-03-12,20605,19224.67
2018-03-13,20161,19223.33
2018-03-14,20377,20217.00
2018-03-15,20688,20381.00
2018-03-16,20694,20408.67
2018-03-17,17261,20586.33
2018-03-18,19938,19547.67
2018-03-19,20614,19297.67
2018-03-20,20174,19271.00
2018-03-21,20381,20242.00
2018-03-22,20698,20389.67
2018-03-23,20712,20417.67
2018-03-24,17232,20597.00
2018-03-25,19936,19547.33
2018-03-26,20620,19293.33
2018-03-27,20169,19262.67
2018-03-28,20357,20241.67
2018-03-29,20630,20382.00
2018-03-30,20626,20385.33
2018-03-31,16977,20537.67
FlightDate,1,19411.00
